RunOrder,Day,Block,x1_rpm,x2_mm,x3_mms,Code_x1,Code_x2,Code_x3,Type,Temperature_C,Humidity_RH,Notes
1,,,2250,42.5,7.5,0,0,0,centre_point,,,
2,,,1500,42.5,12.0,-1,0,1,edge_point,,,
3,,,2250,35.0,3.0,0,-1,-1,edge_point,,,
4,,,3000,35.0,7.5,1,-1,0,edge_point,,,
5,,,1500,50.0,7.5,-1,1,0,edge_point,,,
6,,,2250,42.5,7.5,0,0,0,centre_point,,,
7,,,3000,42.5,3.0,1,0,-1,edge_point,,,
8,,,2250,50.0,12.0,0,1,1,edge_point,,,
9,,,1500,35.0,7.5,-1,-1,0,edge_point,,,
10,,,2250,42.5,7.5,0,0,0,centre_point,,,
11,,,1500,42.5,3.0,-1,0,-1,edge_point,,,
12,,,2250,50.0,3.0,0,1,-1,edge_point,,,
13,,,2250,35.0,12.0,0,-1,1,edge_point,,,
14,,,2250,42.5,7.5,0,0,0,centre_point,,,
15,,,3000,50.0,7.5,1,1,0,edge_point,,,
16,,,3000,42.5,12.0,1,0,1,edge_point,,,
17,,,2250,42.5,7.5,0,0,0,centre_point,,,
